cement,slag,ash,water,superplastic,coarseagg,fineagg,age,strength,,,min,max,,,std_fineagg,std_age
141.3,212,0,203.5,0,971.8,748.5,28,29.89,,fineagg,594,992.6,,,0.387606623,0.074175824
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,14,23.51,,age,1,365,,,0.507275464,0.035714286
250,0,95.7,187.4,5.5,956.9,861.2,28,29.22,,,,,,,0.670346212,0.074175824
266,114,0,228,0,932,670,28,45.85,,std_fineagg,0,1,,,0.190667336,0.074175824
154.8,183.4,0,193.3,9.1,1047.4,696.7,28,18.29,,std_age,0,1,,,0.257651781,0.074175824
255,0,0,192,0,889.8,945,90,21.86,,,,,,,0.880582037,0.244505495
166.8,250.2,0,203.5,0,975.6,692.6,7,15.75,,,,,,,0.24736578,0.016483516
251.4,0,118.3,188.5,6.4,1028.4,757.7,56,36.64,,,,,,,0.410687406,0.151098901
296,0,0,192,0,1085,765,28,21.65,,,,,,,0.429001505,0.074175824
155,184,143,194,9,880,699,28,28.99,,,,,,,0.263421977,0.074175824
151.8,178.1,138.7,167.5,18.3,944,694.6,28,36.35,,,,,,,0.252383342,0.074175824
173,116,0,192,0,946.8,856.8,3,6.94,,,,,,,0.659307577,0.005494505
385,0,0,186,0,966,763,14,27.92,,,,,,,0.423983944,0.035714286
237.5,237.5,0,228,0,932,594,7,26.26,,,,,,,0,0.016483516
167,187,195,185,7,898,636,28,23.89,,,,,,,0.105368791,0.074175824
213.8,98.1,24.5,181.7,6.7,1066,785.5,100,49.97,,,,,,,0.48043151,0.271978022
237.5,237.5,0,228,0,932,594,28,30.08,,,,,,,0,0.074175824
336,0,0,182,3,986,817,28,44.86,,,,,,,0.559458103,0.074175824
190.7,0,125.4,162.1,7.8,1090,804,3,15.04,,,,,,,0.526843954,0.005494505
312.7,0,0,178.1,8,999.7,822.2,28,25.1,,,,,,,0.572503763,0.074175824
229.7,0,118.2,195.2,6.1,1028.1,757.6,3,13.36,,,,,,,0.410436528,0.005494505
228,342.1,0,185.7,0,955.8,674.3,7,21.92,,,,,,,0.201455093,0.016483516
236,157,0,192,0,972.6,749.1,7,20.42,,,,,,,0.389111892,0.016483516
132,207,161,179,5,867,736,28,33.3,,,,,,,0.356246864,0.074175824
331,0,0,192,0,1025,821,28,31.74,,,,,,,0.569493226,0.074175824
310,143,0,168,10,914,804,28,45.3,,,,,,,0.526843954,0.074175824
304,76,0,228,0,932,670,90,49.19,,,,,,,0.190667336,0.244505495
425,106.3,0,153.5,16.5,852.1,887.1,91,65.2,,,,,,,0.735323633,0.247252747
166.1,0,163.3,176.5,4.5,1058.6,780.1,28,21.54,,,,,,,0.466884094,0.074175824
255,99,77,189,6,919,749,28,33.8,,,,,,,0.388861014,0.074175824
339,0,0,197,0,968,781,28,32.04,,,,,,,0.469141997,0.074175824
475,0,0,228,0,932,594,28,39.29,,,,,,,0,0.074175824
145.7,172.6,0,181.9,3.4,985.8,816.8,28,23.74,,,,,,,0.558956347,0.074175824
313,145,0,127,8,1000,822,28,44.52,,,,,,,0.572002007,0.074175824
331,0,0,192,0,1025,821,90,37.91,,,,,,,0.569493226,0.244505495
178,129.8,118.6,179.9,3.6,1007.3,746.8,28,39.16,,,,,,,0.383341696,0.074175824
165,0,143.6,163.8,0,1005.6,900.9,14,16.88,,,,,,,0.769944807,0.035714286
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,14,47.71,,,,,,,0.472905168,0.035714286
325,0,0,184,0,1063,783,7,17.54,,,,,,,0.474159558,0.016483516
167,75.4,167,164,7.9,1007.3,770.1,28,41.41,,,,,,,0.441796287,0.074175824
194.7,0,100.5,170.2,7.5,998,901.8,14,24.28,,,,,,,0.772202709,0.035714286
246.8,0,125.1,143.3,12,1086.8,800.9,56,60.32,,,,,,,0.519066734,0.151098901
382,0,0,185,0,1047,739,28,37.42,,,,,,,0.363773206,0.074175824
149,118,92,183,7,953,780,28,23.52,,,,,,,0.466633216,0.074175824
531.3,0,0,141.8,28.2,852.1,893.7,91,59.2,,,,,,,0.751881586,0.247252747
387,20,94,157,11.6,938,845,56,61.46,,,,,,,0.629703964,0.151098901
193.5,290.2,0,185.7,0,998.2,704.3,7,17.2,,,,,,,0.276718515,0.016483516
326,0,138,199,11,801,792,28,40.68,,,,,,,0.496738585,0.074175824
337.9,189,0,174.9,9.5,944.7,755.8,28,49.9,,,,,,,0.405920723,0.074175824
425,106.3,0,153.5,16.5,852.1,887.1,3,33.4,,,,,,,0.735323633,0.005494505
200,200,0,190,0,1145,660,28,49.25,,,,,,,0.165579528,0.074175824
331,0,0,192,0,978,825,180,39,,,,,,,0.579528349,0.491758242
218.9,0,124.1,158.5,11.3,1078.7,794.9,56,37.27,,,,,,,0.504014049,0.151098901
234,156,0,189,5.9,981,760,28,39.3,,,,,,,0.416457602,0.074175824
309.9,142.8,111.2,167.8,22.1,913.9,651.2,28,38.22,,,,,,,0.143502258,0.074175824
350,0,0,186,0,1050,770,7,20.28,,,,,,,0.441545409,0.016483516
182,45.2,122,170.2,8.2,1059.4,780.7,100,48.67,,,,,,,0.468389363,0.271978022
480,0,0,192,0,936.2,712.2,7,34.57,,,,,,,0.296537883,0.016483516
295.7,0,95.6,171.5,8.9,955.1,859.2,14,35.23,,,,,,,0.66532865,0.035714286
250,0,95.7,187.4,5.5,956.9,861.2,100,42.35,,,,,,,0.670346212,0.271978022
178,129.8,118.6,179.9,3.6,1007.3,746.8,3,20.73,,,,,,,0.383341696,0.005494505
233.8,0,94.6,197.9,4.6,947,852.2,3,10.38,,,,,,,0.647767185,0.005494505
194.7,0,100.5,165.6,7.5,1006.4,905.9,100,37.34,,,,,,,0.78248871,0.271978022
379.5,151.2,0,153.9,15.9,1134.3,605,56,54.9,,,,,,,0.027596588,0.151098901
332.5,142.5,0,228,0,932,594,365,41.05,,,,,,,0,1
350,0,0,203,0,974,775,56,29.98,,,,,,,0.454089313,0.151098901
237,92,71,247,6,853,695,28,28.63,,,,,,,0.253386854,0.074175824
238.1,0,94.1,186.7,7,949.9,847,100,44.3,,,,,,,0.634721525,0.271978022
295.7,0,95.6,171.5,8.9,955.1,859.2,100,52.04,,,,,,,0.66532865,0.271978022
323.7,282.8,0,183.8,10.3,942.7,659.9,7,49.8,,,,,,,0.16532865,0.016483516
200,133,0,192,0,965.4,806.2,3,11.41,,,,,,,0.532363271,0.005494505
342,38,0,228,0,932,670,90,50.46,,,,,,,0.190667336,0.244505495
388.6,97.1,0,157.9,12.1,852.1,925.7,3,28.1,,,,,,,0.832162569,0.005494505
147.8,175.1,0,171.2,2.2,1000,828.5,28,26.92,,,,,,,0.588309082,0.074175824
290.4,0,96.2,168.1,9.4,961.2,865,56,45.08,,,,,,,0.679879579,0.151098901
500,0,0,200,0,1125,613,14,36.94,,,,,,,0.047666834,0.035714286
284,15,141,179,5.5,842,801,7,24.13,,,,,,,0.519317612,0.016483516
165,128.5,132.1,175.1,8.1,1005.8,746.6,3,19.42,,,,,,,0.38283994,0.005494505
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,3,27.42,,,,,,,0.498494732,0.005494505
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,56,39.15,,,,,,,0.507275464,0.151098901
190.3,0,125.2,161.9,9.9,1088.1,802.6,28,28.47,,,,,,,0.523331661,0.074175824
116,173,0,192,0,909.8,891.9,90,31.02,,,,,,,0.74736578,0.244505495
277,0,0,191,0,968,856,90,31.25,,,,,,,0.657300552,0.244505495
376,0,0,214.6,0,1003.5,762.4,100,43.06,,,,,,,0.422478675,0.271978022
236,0,0,194,0,968,885,14,12.84,,,,,,,0.730055193,0.035714286
273,0,90,199,11,931,762,28,32.24,,,,,,,0.421475163,0.074175824
500,0,0,140,4,966,853,28,67.57,,,,,,,0.64977421,0.074175824
212.5,0,100.4,159.3,8.7,1007.8,903.6,14,26.31,,,,,,,0.776718515,0.035714286
362.6,189,0,164.9,11.6,944.7,755.8,3,35.3,,,,,,,0.405920723,0.005494505
275.1,0,121.4,159.5,9.9,1053.6,777.5,3,23.8,,,,,,,0.460361264,0.005494505
139.6,209.4,0,192,0,1047,806.9,7,14.59,,,,,,,0.534119418,0.016483516
362.6,189,0,164.9,11.6,944.7,755.8,7,55.9,,,,,,,0.405920723,0.016483516
182,45.2,122,170.2,8.2,1059.4,780.7,14,21.5,,,,,,,0.468389363,0.035714286
427.5,47.5,0,228,0,932,594,180,41.84,,,,,,,0,0.491758242
183.9,122.6,0,203.5,0,959.2,800,3,4.9,,,,,,,0.516808831,0.005494505
475,0,59,142,1.9,1098,641,28,57.23,,,,,,,0.117912694,0.074175824
362.6,189,0,164.9,11.6,944.7,755.8,28,71.3,,,,,,,0.405920723,0.074175824
318.8,212.5,0,155.7,14.3,852.1,880.4,7,33.4,,,,,,,0.718514802,0.016483516
252,97,76,194,8,835,821,28,33.4,,,,,,,0.569493226,0.074175824
237.5,237.5,0,228,0,932,594,180,36.25,,,,,,,0,0.491758242
149.5,236,0,175.8,12.6,846.8,892.7,28,32.96,,,,,,,0.749372805,0.074175824
540,0,0,162,2.5,1055,676,28,61.89,,,,,,,0.20572002,0.074175824
313,0,113,178,8,1002,689,28,36.8,,,,,,,0.23833417,0.074175824
380,0,0,228,0,932,670,180,53.1,,,,,,,0.190667336,0.491758242
251.4,0,118.3,192.9,5.8,1043.6,754.3,3,11.98,,,,,,,0.402157551,0.005494505
436,0,0,218,0,838.4,719.7,28,23.85,,,,,,,0.315353738,0.074175824
155,0,143,193,9,877,868,28,9.74,,,,,,,0.687405921,0.074175824
281,0,0,186,0,1104,774,7,14.5,,,,,,,0.451580532,0.016483516
151.6,0,111.9,184.4,7.9,992,815.9,28,12.18,,,,,,,0.556698445,0.074175824
326.5,0,137.9,199,10.8,801.1,792.5,28,38.63,,,,,,,0.497992975,0.074175824
397,17.2,158,167,20.8,967,633,28,55.65,,,,,,,0.097842449,0.074175824
238,0,0,186,0,1119,789,7,12.05,,,,,,,0.489212243,0.016483516
158.6,148.9,116,175.1,15,953.3,719.7,28,27.68,,,,,,,0.315353738,0.074175824
385,0,0,186,0,966,763,28,31.35,,,,,,,0.423983944,0.074175824
302,0,0,203,0,974,817,14,18.13,,,,,,,0.559458103,0.035714286
192,288,0,192,0,929.8,716.1,3,12.79,,,,,,,0.306322127,0.005494505
155.6,243.5,0,180.3,10.7,1022,697.7,28,37.36,,,,,,,0.260160562,0.074175824
160,128,122,182,6.4,824,879,28,39.4,,,,,,,0.715002509,0.074175824
222.4,0,96.7,189.3,4.5,967.1,870.3,56,29.45,,,,,,,0.693176116,0.151098901
251.8,0,99.9,146.1,12.4,1006,899.8,14,33.36,,,,,,,0.767185148,0.035714286
331,0,0,192,0,978,825,7,16.26,,,,,,,0.579528349,0.016483516
250,0,95.7,191.8,5.3,948.9,857.2,56,39.64,,,,,,,0.660311089,0.151098901
155,183,0,193,9,877,868,28,23.79,,,,,,,0.687405921,0.074175824
213.5,0,174.2,154.6,11.7,1052.3,775.5,28,45.94,,,,,,,0.455343703,0.074175824
446,24,79,162,11.6,967,712,56,61.07,,,,,,,0.296036126,0.151098901
133,210,0,196,3,949,795,28,31.03,,,,,,,0.504264927,0.074175824
122.6,183.9,0,203.5,0,958.2,800.1,90,33.19,,,,,,,0.517059709,0.244505495
290.2,193.5,0,185.7,0,998.2,704.3,7,21.86,,,,,,,0.276718515,0.016483516
323.7,282.8,0,183.8,10.3,942.7,659.9,28,74.7,,,,,,,0.16532865,0.074175824
375,93.8,0,126.6,23.4,852.1,992.6,91,62.5,,,,,,,1,0.247252747
181.4,0,167,169.6,7.6,1055.6,777.8,28,27.77,,,,,,,0.461113899,0.074175824
298.2,0,107,209.7,11.1,879.6,744.2,28,31.88,,,,,,,0.376818866,0.074175824
236,0,0,193,0,968,885,7,9.99,,,,,,,0.730055193,0.016483516
236,0,0,193,0,968,885,365,25.08,,,,,,,0.730055193,1
339,0,0,197,0,968,781,3,13.22,,,,,,,0.469141997,0.005494505
387,20,94,157,14.3,938,845,56,56.34,,,,,,,0.629703964,0.151098901
166.8,250.2,0,203.5,0,975.6,692.6,90,43.57,,,,,,,0.24736578,0.244505495
387,20,94,157,13.9,938,845,28,46.68,,,,,,,0.629703964,0.074175824
133,200,0,192,0,927.4,839.2,3,6.88,,,,,,,0.615153036,0.005494505
162,214,164,202,10,820,680,28,30.65,,,,,,,0.215755143,0.074175824
262,111,86,195,5,895,733,28,33.72,,,,,,,0.348720522,0.074175824
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,14,30.39,,,,,,,0.480180632,0.035714286
332.5,142.5,0,228,0,932,594,90,37.72,,,,,,,0,0.244505495
313.3,262.2,0,175.5,8.6,1046.9,611.8,7,42.8,,,,,,,0.044656297,0.016483516
302,0,0,203,0,974,817,180,26.74,,,,,,,0.559458103,0.491758242
183.9,122.6,0,203.5,0,959.2,800,90,32.53,,,,,,,0.516808831,0.244505495
500,0,0,200,0,1125,613,7,33.21,,,,,,,0.047666834,0.016483516
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,28,55.51,,,,,,,0.498494732,0.074175824
387,20,94,157,11.6,938,845,28,46.68,,,,,,,0.629703964,0.074175824
380,95,0,228,0,932,594,270,41.15,,,,,,,0,0.739010989
213.5,0,174.2,159.2,11.7,1043.6,771.9,14,29.59,,,,,,,0.446312092,0.035714286
160,188,146,203,11,829,710,28,32.84,,,,,,,0.291018565,0.074175824
322,0,0,203,0,974,800,180,29.59,,,,,,,0.516808831,0.491758242
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,14,33.01,,,,,,,0.500501756,0.035714286
252,0,0,186,0,1111,784,7,11.47,,,,,,,0.476668339,0.016483516
299.8,0,119.8,211.5,9.9,878.2,727.6,28,23.84,,,,,,,0.335173106,0.074175824
531.3,0,0,141.8,28.2,852.1,893.7,28,56.4,,,,,,,0.751881586,0.074175824
198.6,132.4,0,192,0,978.4,825.5,360,44.3,,,,,,,0.58078274,0.986263736
116,173,0,192,0,909.8,891.9,28,22.35,,,,,,,0.74736578,0.074175824
304,76,0,228,0,932,670,365,55.26,,,,,,,0.190667336,1
331,0,0,192,0,978,825,28,31.45,,,,,,,0.579528349,0.074175824
286.3,200.9,0,144.7,11.2,1004.6,803.7,28,67.7,,,,,,,0.52609132,0.074175824
349,0,0,192,0,1047,806,7,18.13,,,,,,,0.531861515,0.016483516
520,0,0,170,5.2,855,855,28,60.28,,,,,,,0.654791771,0.074175824
252.1,97.1,75.6,193.8,8.3,835.5,821.4,28,33.4,,,,,,,0.570496739,0.074175824
255.5,170.3,0,185.7,0,1026.6,724.3,7,17.24,,,,,,,0.326894129,0.016483516
446,24,79,162,11.6,967,712,28,44.42,,,,,,,0.296036126,0.074175824
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,100,37.68,,,,,,,0.658304064,0.271978022
190.7,0,125.4,162.1,7.8,1090,804,56,35.34,,,,,,,0.526843954,0.151098901
322,149,0,186,8,951,709,28,52.42,,,,,,,0.288509784,0.074175824
446,24,79,162,11.6,967,712,28,57.03,,,,,,,0.296036126,0.074175824
178,129.8,118.6,179.9,3.6,1007.3,746.8,56,48.59,,,,,,,0.383341696,0.151098901
212.1,0,121.6,180.3,5.7,1057.6,779.3,3,12.47,,,,,,,0.46487707,0.005494505
276,116,90,180,9,870,768,28,44.28,,,,,,,0.436527847,0.074175824
393,0,0,192,0,940.6,785.6,90,48.85,,,,,,,0.480682388,0.244505495
238.1,0,0,185.7,0,1118.8,789.3,28,17.58,,,,,,,0.489964877,0.074175824
230,0,118.3,195.5,4.6,1029.4,758.6,3,10.03,,,,,,,0.412945309,0.005494505
389.9,189,0,145.9,22,944.7,755.8,3,40.6,,,,,,,0.405920723,0.005494505
157,236,0,192,0,935.4,781.2,90,43.38,,,,,,,0.469643753,0.244505495
296,0,0,192,0,1085,765,7,14.2,,,,,,,0.429001505,0.016483516
230,0,118.3,195.5,4.6,1029.4,758.6,28,24.48,,,,,,,0.412945309,0.074175824
359,19,141,154,10.9,942,801,28,59.49,,,,,,,0.519317612,0.074175824
374,189.2,0,170.1,10.1,926.1,756.7,56,63.4,,,,,,,0.408178625,0.151098901
102,153,0,192,0,887,942,7,7.68,,,,,,,0.873055695,0.016483516
202,11,141,206,1.7,942,801,3,9.85,,,,,,,0.519317612,0.005494505
350,0,0,203,0,974,775,14,22.53,,,,,,,0.454089313,0.035714286
236,157,0,192,0,972.6,749.1,28,32.88,,,,,,,0.389111892,0.074175824
252,0,0,185,0,1111,784,7,13.71,,,,,,,0.476668339,0.016483516
252.3,0,98.8,146.3,14.2,987.8,889,100,60.95,,,,,,,0.740090316,0.271978022
336.5,0,0,181.9,3.4,985.8,816.8,28,44.87,,,,,,,0.558956347,0.074175824
362.6,189,0,164.9,11.6,944.7,755.8,56,77.3,,,,,,,0.405920723,0.151098901
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,56,61.99,,,,,,,0.498494732,0.151098901
315,137,0,145,5.9,1130,745,28,81.75,,,,,,,0.378825891,0.074175824
159,209,161,201,7,848,669,28,30.88,,,,,,,0.188158555,0.074175824
154.8,183.4,0,193.3,9.1,877.2,867.7,28,23.79,,,,,,,0.686653287,0.074175824
281,0,0,186,0,1104,774,28,22.44,,,,,,,0.451580532,0.074175824
231.8,0,121.6,174,6.7,1056.4,778.5,14,26.77,,,,,,,0.462870045,0.035714286
318.8,212.5,0,155.7,14.3,852.1,880.4,91,68.1,,,,,,,0.718514802,0.247252747
266,114,0,228,0,932,670,365,52.91,,,,,,,0.190667336,1
277,0,0,191,0,968,856,180,32.33,,,,,,,0.657300552,0.491758242
166.8,250.2,0,203.5,0,975.6,692.6,28,33.95,,,,,,,0.24736578,0.074175824
159.8,250,0,168.4,12.2,1049.3,688.2,28,39.46,,,,,,,0.236327145,0.074175824
397,0,0,185.7,0,1040.6,734.3,7,25.45,,,,,,,0.351981937,0.016483516
231.8,0,121.6,174,6.7,1056.4,778.5,100,45.84,,,,,,,0.462870045,0.271978022
164.6,0,150.4,181.6,11.7,1023.3,728.9,28,18.03,,,,,,,0.338434521,0.074175824
122.6,183.9,0,203.5,0,958.2,800.1,28,24.29,,,,,,,0.517059709,0.074175824
136.4,161.6,125.8,171.6,10.4,922.6,764.4,28,29.07,,,,,,,0.427496237,0.074175824
190,190,0,228,0,932,670,180,46.93,,,,,,,0.190667336,0.491758242
337.9,189,0,174.9,9.5,944.7,755.8,56,59.89,,,,,,,0.405920723,0.151098901
349,0,0,192,0,1047,806,90,39.49,,,,,,,0.531861515,0.244505495
184,86,190,213,6,923,623,28,22.93,,,,,,,0.072754641,0.074175824
424,22,132,178,8.5,822,750,7,39,,,,,,,0.391369794,0.016483516
